# three_species_cycle_noise_sweep_v5 — ONE cyclic community, FIVE environmental
# noise levels (the researcher's own buffeting knob; level 3 = their baseline run).
# columns: level (1..5, ordered low->high noise), noise_rel (relative buffeting
#          amplitude, normalized to the baseline level 3 = 1.0x), tau (community
#          clock — a lag for the two-point columns, elapsed time for the winding
#          columns), C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations between the
#          two community-rotation axes), phiMean / phiVar (mean and variance of
#          the cumulative net turnover angle up to elapsed tau, across sub-windows).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,noise_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
2,0.5000,7.692643,-0.000064,0.402165,-0.000452,0.000452,7.670720,88.351993
2,0.5000,7.996721,-0.000148,0.402133,-0.000302,0.000302,8.001744,91.197398
2,0.5000,8.300799,-0.000173,0.402084,-0.000178,0.000178,8.268871,94.384801
2,0.5000,8.604878,-0.000162,0.402033,-0.000085,0.000085,8.612306,98.510227
2,0.5000,8.908956,-0.000133,0.401988,-0.000022,0.000022,9.011045,100.425626
2,0.5000,9.213034,-0.000099,0.401953,0.000015,-0.000015,9.281753,106.406676
2,0.5000,9.517112,-0.000066,0.401928,0.000033,-0.000033,9.589502,109.545539
2,0.5000,9.821190,-0.000039,0.401912,0.000038,-0.000038,9.879239,114.641906
2,0.5000,10.125268,-0.000018,0.401903,0.000036,-0.000036,10.235587,119.084882
2,0.5000,10.429346,-0.000005,0.401900,0.000029,-0.000029,10.499191,121.433640
2,0.5000,10.733424,0.000003,0.401899,0.000022,-0.000022,10.768111,123.649014
2,0.5000,11.037503,0.000007,0.401901,0.000014,-0.000014,11.058936,126.638193
2,0.5000,11.341581,0.000008,0.401904,0.000008,-0.000008,11.387953,129.522237
2,0.5000,11.645659,0.000008,0.401906,0.000004,-0.000004,11.733151,132.610922
2,0.5000,11.949737,0.000006,0.401908,0.000001,-0.000001,12.089130,144.476571
2,0.5000,12.253815,0.000005,0.401910,-0.000001,0.000001,12.502719,166.739341
2,0.5000,12.557893,0.000003,0.401911,-0.000002,0.000002,12.845094,171.482368
2,0.5000,12.861971,0.000002,0.401912,-0.000002,0.000002,13.167404,174.258711
2,0.5000,13.166050,0.000001,0.401912,-0.000002,0.000002,13.475606,181.076813
2,0.5000,13.470128,0.000000,0.401912,-0.000001,0.000001,13.784687,182.398162
2,0.5000,13.774206,-0.000000,0.401912,-0.000001,0.000001,14.126595,186.844550
