# three_species_coupling_sweep_v11 — ONE cyclic community, FIVE cyclic-coupling
# strengths (the researcher's own interaction-strength knob; level 3 = their
# baseline run). The environment/noise is the SAME at every level.
# columns: level (1..5, ordered weak->strong coupling), coupling_rel (relative
#          cyclic-interaction strength, normalized to the baseline level 3 = 1.0x),
#          tau (community clock — a lag for the two-point columns, elapsed time for
#          the winding columns), C (normalized rotation-plane autocorr), chi
#          (integrated response), Cxy / Cyx (the two directed cross-correlations
#          between the two community-rotation axes), phiMean / phiVar (mean and
#          variance of the cumulative net turnover angle up to elapsed tau).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Each level watched on its OWN clock, so tau ranges differ (slow loops watched longer).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,coupling_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
2,0.5000,37.278912,0.000000,0.648553,-0.000000,0.000000,19.938634,543.336734
2,0.5000,37.887068,0.000000,0.648553,-0.000000,0.000000,20.306866,554.019027
2,0.5000,38.495224,0.000000,0.648553,-0.000000,0.000000,20.636466,561.660180
2,0.5000,39.103380,0.000000,0.648553,-0.000000,0.000000,20.900033,573.801997
2,0.5000,39.711537,-0.000000,0.648553,-0.000000,0.000000,21.148014,580.471308
2,0.5000,40.319693,-0.000000,0.648553,-0.000000,0.000000,21.441647,583.819474
2,0.5000,40.927849,-0.000000,0.648553,-0.000000,0.000000,21.889858,590.470269
2,0.5000,41.536005,-0.000000,0.648553,-0.000000,0.000000,22.331284,597.841140
2,0.5000,42.144162,-0.000000,0.648553,-0.000000,0.000000,22.743397,611.504195
2,0.5000,42.752318,-0.000000,0.648553,0.000000,-0.000000,23.018160,612.925712
2,0.5000,43.360474,-0.000000,0.648553,0.000000,-0.000000,23.352144,618.679373
2,0.5000,43.968630,-0.000000,0.648553,0.000000,-0.000000,23.752150,623.750515
2,0.5000,44.576787,-0.000000,0.648553,0.000000,-0.000000,24.116631,642.476246
2,0.5000,45.184943,-0.000000,0.648553,0.000000,-0.000000,24.349959,648.814559
2,0.5000,45.793099,0.000000,0.648553,0.000000,-0.000000,24.666404,658.541468
2,0.5000,46.401256,0.000000,0.648553,0.000000,-0.000000,24.936367,662.684759
2,0.5000,47.009412,0.000000,0.648553,0.000000,-0.000000,25.204748,669.261131
2,0.5000,47.617568,0.000000,0.648553,0.000000,-0.000000,25.423536,676.240658
2,0.5000,48.225724,0.000000,0.648553,0.000000,-0.000000,25.718828,680.435597
2,0.5000,48.833881,0.000000,0.648553,-0.000000,0.000000,25.987434,685.224572
2,0.5000,49.442037,0.000000,0.648553,-0.000000,0.000000,26.224358,687.605174
2,0.5000,50.050193,0.000000,0.648553,-0.000000,0.000000,26.513946,691.156000
2,0.5000,50.658349,0.000000,0.648553,-0.000000,0.000000,26.828795,699.226794
2,0.5000,51.266506,0.000000,0.648553,-0.000000,0.000000,27.081006,702.975250
2,0.5000,51.874662,-0.000000,0.648553,-0.000000,0.000000,27.340511,710.022072
2,0.5000,52.482818,-0.000000,0.648553,-0.000000,0.000000,27.653739,718.783475
2,0.5000,53.090974,-0.000000,0.648553,-0.000000,0.000000,27.890031,734.072437
2,0.5000,53.699131,-0.000000,0.648553,-0.000000,0.000000,28.304440,744.344646
2,0.5000,54.307287,-0.000000,0.648553,-0.000000,0.000000,28.614030,758.114889
2,0.5000,54.915443,-0.000000,0.648553,0.000000,-0.000000,28.984230,762.713389
2,0.5000,55.523599,-0.000000,0.648553,0.000000,-0.000000,29.248140,776.137316
2,0.5000,56.131756,-0.000000,0.648553,0.000000,-0.000000,29.498041,786.781720
2,0.5000,56.739912,-0.000000,0.648553,0.000000,-0.000000,29.749080,790.934099
2,0.5000,57.348068,-0.000000,0.648553,0.000000,-0.000000,30.004936,800.390924
2,0.5000,57.956224,0.000000,0.648553,0.000000,-0.000000,30.298993,813.026544
2,0.5000,58.564381,0.000000,0.648553,0.000000,-0.000000,30.596099,831.078476
2,0.5000,59.172537,0.000000,0.648553,0.000000,-0.000000,30.786084,828.402286
2,0.5000,59.780693,0.000000,0.648553,0.000000,-0.000000,31.081072,836.811131
2,0.5000,60.388849,0.000000,0.648553,0.000000,-0.000000,31.382523,839.764994
2,0.5000,60.997006,0.000000,0.648553,-0.000000,0.000000,31.649888,892.380660
2,0.5000,61.605162,0.000000,0.648553,-0.000000,0.000000,31.949867,891.444312
2,0.5000,62.213318,0.000000,0.648553,-0.000000,0.000000,32.338992,901.549750
2,0.5000,62.821474,0.000000,0.648553,-0.000000,0.000000,32.624722,908.958983
2,0.5000,63.429631,0.000000,0.648553,-0.000000,0.000000,32.899985,914.774230
2,0.5000,64.037787,-0.000000,0.648553,-0.000000,0.000000,33.268695,916.138330
2,0.5000,64.645943,-0.000000,0.648553,-0.000000,0.000000,33.691743,932.961696
2,0.5000,65.254099,-0.000000,0.648553,-0.000000,0.000000,34.103239,941.516700
2,0.5000,65.862256,-0.000000,0.648553,-0.000000,0.000000,34.373258,947.227784
2,0.5000,66.470412,-0.000000,0.648553,-0.000000,0.000000,34.699063,962.964039
2,0.5000,67.078568,-0.000000,0.648553,0.000000,-0.000000,35.105633,979.620116
2,0.5000,67.686725,-0.000000,0.648553,0.000000,-0.000000,35.363510,988.720811
2,0.5000,68.294881,-0.000000,0.648553,0.000000,-0.000000,35.722352,989.482221
2,0.5000,68.903037,-0.000000,0.648553,0.000000,-0.000000,36.059608,995.346220
2,0.5000,69.511193,-0.000000,0.648553,0.000000,-0.000000,36.315965,998.670267
2,0.5000,70.119350,0.000000,0.648553,0.000000,-0.000000,36.755697,1008.317675
2,0.5000,70.727506,0.000000,0.648553,0.000000,-0.000000,37.151724,1024.680303
2,0.5000,71.335662,0.000000,0.648553,0.000000,-0.000000,37.572703,1036.992664
2,0.5000,71.943818,0.000000,0.648553,0.000000,-0.000000,37.839931,1048.731752
2,0.5000,72.551975,0.000000,0.648553,-0.000000,0.000000,38.129011,1054.454741
3,1.0000,0.090690,0.909248,0.000000,-0.085949,0.085949,0.094661,0.785457
3,1.0000,0.394768,0.617921,0.232189,-0.268755,0.268755,0.437926,4.544554
3,1.0000,0.698846,0.371706,0.382651,-0.330153,0.330153,0.784245,8.051153
3,1.0000,1.002924,0.184966,0.467287,-0.316755,0.316755,1.100063,11.136363
3,1.0000,1.307002,0.057082,0.504088,-0.264542,0.264542,1.506062,13.888971
3,1.0000,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.804600,17.281717
3,1.0000,1.915159,-0.060003,0.497372,-0.134545,0.134545,2.143661,20.718480
3,1.0000,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.453838,25.025512
3,1.0000,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.763790,29.374056
3,1.0000,2.827393,-0.057949,0.436092,-0.011945,0.011945,3.078022,34.146539
3,1.0000,3.131471,-0.043376,0.420687,0.004911,-0.004911,3.462338,37.955435
3,1.0000,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.811138,40.180373
3,1.0000,3.739628,-0.017472,0.402528,0.016106,-0.016106,4.023165,48.172103
3,1.0000,4.043706,-0.008560,0.398571,0.015301,-0.015301,4.265646,53.271416
3,1.0000,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.560962,56.266787
3,1.0000,4.651862,0.001161,0.396687,0.009473,-0.009473,4.880247,59.417743
3,1.0000,4.955940,0.002986,0.397318,0.006377,-0.006377,5.200018,61.554567
3,1.0000,5.260018,0.003556,0.398313,0.003787,-0.003787,5.489619,66.044606
3,1.0000,5.564096,0.003362,0.399364,0.001840,-0.001840,5.784138,70.490665
3,1.0000,5.868174,0.002780,0.400298,0.000520,-0.000520,6.140134,73.796535
3,1.0000,6.172253,0.002069,0.401035,-0.000273,0.000273,6.465762,77.931014
3,1.0000,6.476331,0.001388,0.401561,-0.000666,0.000666,6.749721,81.848180
3,1.0000,6.780409,0.000821,0.401897,-0.000785,0.000785,7.078571,84.224788
3,1.0000,7.084487,0.000396,0.402082,-0.000739,0.000739,7.405767,89.849709
3,1.0000,7.388565,0.000108,0.402158,-0.000609,0.000609,7.713754,92.452891
3,1.0000,7.692643,-0.000064,0.402165,-0.000452,0.000452,8.055083,95.253652
3,1.0000,7.996721,-0.000148,0.402133,-0.000302,0.000302,8.341609,98.940752
3,1.0000,8.300799,-0.000173,0.402084,-0.000178,0.000178,8.563531,101.568444
3,1.0000,8.604878,-0.000162,0.402033,-0.000085,0.000085,8.824279,106.636090
3,1.0000,8.908956,-0.000133,0.401988,-0.000022,0.000022,9.138044,110.013933
3,1.0000,9.213034,-0.000099,0.401953,0.000015,-0.000015,9.432438,119.306792
3,1.0000,9.517112,-0.000066,0.401928,0.000033,-0.000033,9.685465,124.399188
3,1.0000,9.821190,-0.000039,0.401912,0.000038,-0.000038,10.000653,129.419920
3,1.0000,10.125268,-0.000018,0.401903,0.000036,-0.000036,10.314459,132.822050
3,1.0000,10.429346,-0.000005,0.401900,0.000029,-0.000029,10.604040,135.634940
3,1.0000,10.733424,0.000003,0.401899,0.000022,-0.000022,10.934665,136.827357
3,1.0000,11.037503,0.000007,0.401901,0.000014,-0.000014,11.237374,142.404338
3,1.0000,11.341581,0.000008,0.401904,0.000008,-0.000008,11.565307,145.084377
3,1.0000,11.645659,0.000008,0.401906,0.000004,-0.000004,11.881706,148.851325
3,1.0000,11.949737,0.000006,0.401908,0.000001,-0.000001,12.200340,152.619361
3,1.0000,12.253815,0.000005,0.401910,-0.000001,0.000001,12.558938,155.885667
