# observation_window_sweep_v13 -- BLIND artifact (provenance below stripped by pose.py).
# ONE fluctuating signal, measured at FIVE observation-window lengths (level 0 shortest
# watching -> level 4 longest). tau is the signal's own clock (a lag). Columns: level,
# window_rel (relative observation-window length, normalized to the shortest run = 1.0x),
# tau, C (autocorrelation), chi (integrated step-response). No times, no model parameters.
# Sampling is fixed-fine; only the observation DURATION (max lag) differs across levels.
level,window_rel,tau,C,chi
12,35.3498,17.284,0.58971873,0.41028127
12,35.3498,21.1439,0.58744686,0.41255314
12,35.3498,25.8657,0.58467955,0.41532045
12,35.3498,31.6421,0.58131196,0.41868804
12,35.3498,38.7085,0.57721868,0.42278132
12,35.3498,47.3529,0.57225047,0.42774953
12,35.3498,57.9278,0.56623086,0.43376914
12,35.3498,70.8643,0.55895299,0.44104701
12,35.3498,86.6898,0.55017691,0.44982309
12,35.3498,106.049,0.53962811,0.46037189
13,47.5794,0,1,0
13,47.5794,0.05,0.98046177,0.019538229
13,47.5794,0.0616462,0.97604922,0.023950783
13,47.5794,0.076005,0.97067903,0.029320971
13,47.5794,0.0937083,0.9641631,0.035836902
13,47.5794,0.115535,0.95628637,0.043713628
13,47.5794,0.142446,0.94680828,0.053191718
13,47.5794,0.175625,0.93546763,0.064532367
13,47.5794,0.216532,0.92199274,0.078007263
13,47.5794,0.266968,0.90611899,0.093881006
13,47.5794,0.329151,0.88761641,0.11238359
13,47.5794,0.405817,0.86632929,0.13367071
13,47.5794,0.500342,0.84222923,0.15777077
13,47.5794,0.616883,0.81547951,0.18452049
13,47.5794,0.760569,0.7865039,0.2134961
13,47.5794,0.937724,0.75604482,0.24395518
13,47.5794,1.15614,0.72518594,0.27481406
13,47.5794,1.42543,0.69530699,0.30469301
13,47.5794,1.75745,0.66794006,0.33205994
13,47.5794,2.1668,0.64451866,0.35548134
13,47.5794,2.6715,0.62605859,0.37394141
13,47.5794,3.29376,0.61287268,0.38712732
13,47.5794,4.06095,0.60446144,0.39553856
13,47.5794,5.00684,0.59968022,0.40031978
13,47.5794,6.17305,0.59714153,0.40285847
13,47.5794,7.61089,0.59564881,0.40435119
13,47.5794,9.38365,0.59442978,0.40557022
13,47.5794,11.5693,0.59310219,0.40689781
13,47.5794,14.2641,0.59150256,0.40849744
13,47.5794,17.5865,0.58954034,0.41045966
13,47.5794,21.6828,0.58713033,0.41286967
13,47.5794,26.7333,0.58417254,0.41582746
13,47.5794,32.9601,0.58054632,0.41945368
13,47.5794,40.6372,0.57610643,0.42389357
13,47.5794,50.1026,0.5706791,0.4293209
13,47.5794,61.7727,0.56405795,0.43594205
13,47.5794,76.161,0.55600022,0.44399978
