# coupling_ramp_v7 — ONE matched (mutual-interaction) three-population
#   community observed at FIVE increasing interaction-strength settings.
# 'level' is a neutral 0..4 index = how far the strength knob was turned up
#   (the strength magnitudes themselves are NOT in the file).
# columns: level, tau (the community's own clock — a lag for the two-point
#   columns, an elapsed time for the winding columns), C (normalized
#   turnover-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations), phiMean / phiVar (mean & variance of the
#   cumulative net turnover angle). Each level has its OWN settling window.
# All columns dimensionless (angle in radians). Five operating points.
# Generated by the community's own exact linear propagator + sim — not via conform.
level,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,3.067647,0.236000,1.147008,0.233046,0.233046,0.043595,36.370186
1,3.235294,0.220441,1.171330,0.218182,0.218182,0.036107,37.144584
1,3.402941,0.205951,1.193982,0.204223,0.204223,-0.007979,38.120878
1,3.570588,0.192446,1.215094,0.191125,0.191125,-0.100305,41.938656
1,3.738235,0.179851,1.234782,0.178841,0.178841,-0.094622,43.359590
1,3.905882,0.168100,1.253151,0.167327,0.167327,-0.071898,44.277025
1,4.073529,0.157131,1.270297,0.156540,0.156540,-0.074766,45.376029
1,4.241176,0.146889,1.286306,0.146438,0.146438,-0.093535,46.626935
1,4.408824,0.137324,1.301259,0.136978,0.136978,-0.064052,47.715658
1,4.576471,0.128388,1.315227,0.128123,0.128123,-0.079334,48.333056
1,4.744118,0.120038,1.328279,0.119836,0.119836,-0.077238,50.654280
1,4.911765,0.112235,1.340475,0.112080,0.112080,-0.088919,51.729641
1,5.079412,0.104942,1.351875,0.104824,0.104824,-0.071290,54.139544
1,5.247059,0.098126,1.362530,0.098035,0.098035,-0.053332,55.522758
1,5.414706,0.091754,1.372490,0.091684,0.091684,-0.019761,57.592497
1,5.582353,0.085797,1.381801,0.085744,0.085744,-0.036357,58.792526
1,5.750000,0.080227,1.390507,0.080187,0.080187,-0.029914,59.336863
1,5.917647,0.075020,1.398646,0.074989,0.074989,-0.029110,59.744541
1,6.085294,0.070152,1.406255,0.070128,0.070128,0.000145,59.685035
1,6.252941,0.065600,1.413371,0.065582,0.065582,-0.030419,60.348638
1,6.420588,0.061343,1.420024,0.061330,0.061330,-0.034167,62.213039
1,6.588235,0.057364,1.426245,0.057353,0.057353,0.004889,62.498551
1,6.755882,0.053642,1.432062,0.053634,0.053634,0.006592,62.788065
1,6.923529,0.050162,1.437501,0.050156,0.050156,0.049585,62.929591
1,7.091176,0.046908,1.442587,0.046903,0.046903,0.057819,65.260343
1,7.258824,0.043865,1.447344,0.043862,0.043862,0.029686,67.433789
1,7.426471,0.041020,1.451791,0.041017,0.041017,0.028650,69.702222
1,7.594118,0.038359,1.455950,0.038357,0.038357,0.041971,70.371756
1,7.761765,0.035871,1.459839,0.035869,0.035869,0.011864,70.912006
1,7.929412,0.033544,1.463476,0.033543,0.033543,0.026981,72.555999
1,8.097059,0.031368,1.466877,0.031368,0.031368,0.071501,74.320797
1,8.264706,0.029334,1.470058,0.029333,0.029333,0.124771,76.087596
1,8.432353,0.027431,1.473032,0.027431,0.027431,0.136015,77.148253
1,8.600000,0.025652,1.475813,0.025652,0.025652,0.135440,78.467542
1,8.767647,0.023988,1.478413,0.023988,0.023988,0.301337,101.315560
1,8.935294,0.022432,1.480845,0.022432,0.022432,0.352709,102.698549
1,9.102941,0.020977,1.483120,0.020977,0.020977,0.378341,104.138278
1,9.270588,0.019617,1.485246,0.019617,0.019617,0.327054,106.673365
1,9.438235,0.018344,1.487235,0.018344,0.018344,0.391347,108.441491
1,9.605882,0.017155,1.489095,0.017154,0.017154,0.407077,109.427562
1,9.773529,0.016042,1.490834,0.016042,0.016042,0.403528,109.644579
1,9.941176,0.015001,1.492460,0.015001,0.015001,0.427721,111.319762
1,10.108824,0.014028,1.493981,0.014028,0.014028,0.392357,113.249882
1,10.276471,0.013119,1.495404,0.013118,0.013118,0.372858,113.722565
1,10.444118,0.012268,1.496734,0.012268,0.012268,0.404117,113.981716
1,10.611765,0.011472,1.497977,0.011472,0.011472,0.360892,114.136114
1,10.779412,0.010728,1.499140,0.010728,0.010728,0.350324,116.008760
1,10.947059,0.010032,1.500228,0.010032,0.010032,0.326784,117.613913
1,11.114706,0.009381,1.501245,0.009381,0.009381,0.337809,118.048405
1,11.282353,0.008773,1.502196,0.008773,0.008773,0.298475,119.245057
1,11.450000,0.008204,1.503085,0.008204,0.008204,0.343944,121.942346
1,11.617647,0.007672,1.503917,0.007672,0.007672,0.344134,123.482239
1,11.785294,0.007174,1.504695,0.007174,0.007174,0.361094,124.390361
1,11.952941,0.006709,1.505422,0.006709,0.006709,0.363393,125.870106
1,12.120588,0.006274,1.506102,0.006274,0.006274,0.319770,127.702539
1,12.288235,0.005867,1.506739,0.005867,0.005867,0.288167,128.702286
1,12.455882,0.005486,1.507333,0.005486,0.005486,0.326606,130.083344
1,12.623529,0.005130,1.507890,0.005130,0.005130,0.318670,131.330549
1,12.791176,0.004798,1.508410,0.004798,0.004798,0.261649,135.666223
1,12.958824,0.004487,1.508896,0.004487,0.004487,0.247946,138.699882
1,13.126471,0.004196,1.509351,0.004196,0.004196,0.235038,140.182270
1,13.294118,0.003923,1.509776,0.003923,0.003923,0.195939,141.549738
1,13.461765,0.003669,1.510174,0.003669,0.003669,0.182352,145.610518
1,13.629412,0.003431,1.510546,0.003431,0.003431,0.179539,146.734449
1,13.797059,0.003208,1.510894,0.003208,0.003208,0.228192,148.147525
1,13.964706,0.003000,1.511219,0.003000,0.003000,0.210216,149.322290
1,14.132353,0.002806,1.511523,0.002806,0.002806,0.235288,151.884834
1,14.300000,0.002624,1.511808,0.002624,0.002624,0.282553,153.897279
1,14.467647,0.002454,1.512074,0.002454,0.002454,0.327222,156.247930
1,14.635294,0.002294,1.512322,0.002294,0.002294,0.373513,158.236607
1,14.802941,0.002146,1.512555,0.002146,0.002146,0.416374,161.992351
1,14.970588,0.002006,1.512773,0.002006,0.002006,0.378606,161.755051
1,15.138235,0.001876,1.512976,0.001876,0.001876,0.364975,163.083198
1,15.305882,0.001755,1.513166,0.001755,0.001755,0.342818,165.235426
1,15.473529,0.001641,1.513344,0.001641,0.001641,0.273845,177.798649
1,15.641176,0.001534,1.513510,0.001534,0.001534,0.246319,179.368058
1,15.808824,0.001435,1.513666,0.001435,0.001435,0.258188,179.956182
1,15.976471,0.001342,1.513812,0.001342,0.001342,0.308508,183.953881
1,16.144118,0.001255,1.513948,0.001255,0.001255,0.309163,185.265826
1,16.311765,0.001173,1.514075,0.001173,0.001173,0.274183,185.953921
1,16.479412,0.001097,1.514194,0.001097,0.001097,0.279308,187.478293
1,16.647059,0.001026,1.514305,0.001026,0.001026,0.290542,190.237208
1,16.814706,0.000960,1.514409,0.000960,0.000960,0.295608,192.390330
1,16.982353,0.000897,1.514506,0.000897,0.000897,0.307284,194.040799
1,17.150000,0.000839,1.514597,0.000839,0.000839,0.283645,194.592958
1,17.317647,0.000785,1.514682,0.000785,0.000785,0.277739,196.954465
1,17.485294,0.000734,1.514762,0.000734,0.000734,0.266442,198.723543
1,17.652941,0.000686,1.514836,0.000686,0.000686,0.201314,203.583519
1,17.820588,0.000642,1.514906,0.000642,0.000642,0.144539,231.834238
1,17.988235,0.000600,1.514971,0.000600,0.000600,0.209797,233.723545
1,18.155882,0.000561,1.515032,0.000561,0.000561,0.207220,235.095944
1,18.323529,0.000525,1.515089,0.000525,0.000525,0.239351,237.470866
1,18.491176,0.000491,1.515142,0.000491,0.000491,0.220304,242.567616
1,18.658824,0.000459,1.515192,0.000459,0.000459,0.186042,244.321064
1,18.826471,0.000429,1.515238,0.000429,0.000429,0.141401,247.167142
1,18.994118,0.000401,1.515282,0.000401,0.000401,0.151773,247.772002
1,19.161765,0.000375,1.515322,0.000375,0.000375,0.142618,249.750876
1,19.329412,0.000351,1.515360,0.000351,0.000351,0.091255,252.063211
1,19.497059,0.000328,1.515396,0.000328,0.000328,0.067510,252.449832
1,19.664706,0.000307,1.515429,0.000307,0.000307,0.089661,253.369792
1,19.832353,0.000287,1.515460,0.000287,0.000287,0.020733,257.450360
1,20.000000,0.000268,1.515489,0.000268,0.000268,-0.009421,257.652606
2,0.100000,0.965706,0.000000,0.798652,0.798652,0.037025,0.663647
2,0.435294,0.870640,0.267303,0.779282,0.779282,0.039168,2.563503
2,0.770588,0.796435,0.475219,0.746473,0.746473,0.107639,6.153947
2,1.105882,0.735079,0.646652,0.707756,0.707756,0.157201,7.853301
2,1.441176,0.682098,0.794390,0.667156,0.667156,0.019237,15.503115
2,1.776471,0.634956,0.925668,0.626785,0.626785,-0.020868,17.518768
2,2.111765,0.592187,1.044670,0.587718,0.587718,-0.002630,18.874085
2,2.447059,0.552910,1.153897,0.550466,0.550466,0.030872,21.785285
2,2.782353,0.516574,1.254914,0.515238,0.515238,-0.059774,24.968724
2,3.117647,0.482810,1.348764,0.482079,0.482079,-0.080182,28.380949
2,3.452941,0.451353,1.436190,0.450953,0.450953,-0.099119,30.137939
2,3.788235,0.422001,1.517763,0.421782,0.421782,-0.079915,30.959679
2,4.123529,0.394587,1.593943,0.394468,0.394468,-0.075060,32.782155
2,4.458824,0.368971,1.665128,0.368906,0.368906,-0.090542,35.136871
2,4.794118,0.345027,1.731665,0.344991,0.344991,-0.158261,40.431187
2,5.129412,0.322642,1.793871,0.322622,0.322622,-0.156645,42.141231
2,5.464706,0.301712,1.852033,0.301701,0.301701,-0.185644,43.007073
2,5.800000,0.282140,1.906417,0.282135,0.282135,-0.212138,45.364205
2,6.135294,0.263840,1.957272,0.263837,0.263837,-0.140104,48.542877
2,6.470588,0.246727,2.004826,0.246725,0.246725,-0.155499,50.406299
2,6.805882,0.230724,2.049296,0.230723,0.230723,-0.095911,52.539522
2,7.141176,0.215759,2.090880,0.215758,0.215758,-0.136196,54.486625
2,7.476471,0.201765,2.129768,0.201764,0.201764,-0.120186,57.473670
2,7.811765,0.188678,2.166133,0.188678,0.188678,-0.008852,61.990841
2,8.147059,0.176440,2.200139,0.176440,0.176440,0.030757,64.476786
2,8.482353,0.164997,2.231939,0.164996,0.164996,0.032068,69.215726
2,8.817647,0.154295,2.261677,0.154295,0.154295,-0.008448,70.310375
2,9.152941,0.144287,2.289486,0.144287,0.144287,-0.037587,73.747313
2,9.488235,0.134929,2.315492,0.134929,0.134929,0.124858,98.812782
2,9.823529,0.126177,2.339811,0.126177,0.126177,0.095931,101.029346
2,10.158824,0.117994,2.362552,0.117994,0.117994,0.132829,111.102452
2,10.494118,0.110341,2.383818,0.110341,0.110341,0.139228,113.622642
2,10.829412,0.103184,2.403706,0.103184,0.103184,0.064839,116.299851
2,11.164706,0.096491,2.422303,0.096491,0.096491,0.052563,117.813878
2,11.500000,0.090233,2.439694,0.090233,0.090233,-0.002317,119.972307
2,11.835294,0.084380,2.455957,0.084380,0.084380,-0.074888,122.004735
2,12.170588,0.078908,2.471165,0.078908,0.078908,-0.073863,122.658424
2,12.505882,0.073790,2.485387,0.073790,0.073790,-0.099941,124.513129
2,12.841176,0.069004,2.498686,0.069004,0.069004,-0.071801,125.547155
2,13.176471,0.064528,2.511123,0.064528,0.064528,-0.108957,127.741149
2,13.511765,0.060343,2.522753,0.060343,0.060343,-0.107880,128.914779
2,13.847059,0.056429,2.533629,0.056429,0.056429,-0.121763,130.825863
2,14.182353,0.052769,2.543799,0.052769,0.052769,-0.141325,132.743316
2,14.517647,0.049346,2.553310,0.049346,0.049346,-0.134016,134.842409
2,14.852941,0.046146,2.562204,0.046146,0.046146,-0.145276,136.794235
2,15.188235,0.043153,2.570521,0.043153,0.043153,-0.133397,140.812284
2,15.523529,0.040354,2.578298,0.040354,0.040354,-0.198644,145.233969
2,15.858824,0.037737,2.585572,0.037737,0.037737,-0.275461,146.436102
2,16.194118,0.035289,2.592373,0.035289,0.035289,-0.222866,146.559491
2,16.529412,0.033000,2.598733,0.033000,0.033000,-0.140965,147.980228
2,16.864706,0.030860,2.604681,0.030860,0.030860,-0.206042,150.171016
2,17.200000,0.028858,2.610243,0.028858,0.028858,-0.201514,150.684670
2,17.535294,0.026986,2.615444,0.026986,0.026986,-0.237049,152.079946
2,17.870588,0.025236,2.620308,0.025236,0.025236,-0.255749,154.573365
2,18.205882,0.023599,2.624856,0.023599,0.023599,-0.211938,158.769396
2,18.541176,0.022069,2.629110,0.022069,0.022069,-0.189478,161.700664
2,18.876471,0.020637,2.633087,0.020637,0.020637,-0.270637,164.282885
2,19.211765,0.019299,2.636807,0.019299,0.019299,-0.264355,170.556093
2,19.547059,0.018047,2.640285,0.018047,0.018047,-0.273746,173.150942
2,19.882353,0.016877,2.643538,0.016877,0.016877,-0.300868,175.672737
2,20.217647,0.015782,2.646580,0.015782,0.015782,-0.323492,181.686840
2,20.552941,0.014758,2.649424,0.014758,0.014758,-0.265741,185.226922
2,20.888235,0.013801,2.652084,0.013801,0.013801,-0.279479,188.453598
2,21.223529,0.012906,2.654571,0.012906,0.012906,-0.285019,190.907035
2,21.558824,0.012069,2.656898,0.012069,0.012069,-0.190565,192.741105
2,21.894118,0.011286,2.659073,0.011286,0.011286,-0.146859,195.694486
2,22.229412,0.010554,2.661107,0.010554,0.010554,-0.129812,198.313626
2,22.564706,0.009870,2.663009,0.009870,0.009870,-0.094073,200.589698
2,22.900000,0.009229,2.664788,0.009229,0.009229,0.059809,226.336307
2,23.235294,0.008631,2.666451,0.008631,0.008631,0.052785,230.752591
